iter	Passed	Remaining
476	667	732
477	668	730
478	669	728
479	671	727
480	672	725
481	673	724
482	675	722
483	676	721
484	677	719
485	679	718
486	680	716
487	682	715
488	683	714
489	685	713
490	686	712
491	688	711
492	690	710
493	692	708
494	693	707
495	695	706
496	696	705
497	698	703
498	699	702
499	700	700
500	702	699
501	703	697
502	704	696
503	706	694
504	707	693
505	709	692
506	711	691
507	712	690
508	714	689
509	717	689
510	718	687
511	720	686
512	721	684
513	723	683
514	725	683
515	728	682
516	731	683
517	733	682
518	734	681
519	736	680
520	739	679
521	741	679
522	744	678
523	746	677
524	748	677
525	749	675
526	752	675
527	754	674
528	757	674
529	760	673
530	762	673
531	764	672
532	766	671
533	768	670
534	770	669
535	772	668
536	775	668
537	777	668
538	780	667
539	783	667
540	786	667
541	788	666
542	790	665
543	792	664
544	794	663
545	796	662
546	798	661
547	801	661
548	803	659
549	805	658
550	807	657
551	809	656
552	811	655
553	813	655
554	816	654
555	818	653
556	820	652
557	822	651
558	823	649
559	825	648
560	828	647
561	830	647
562	832	645
563	833	644
564	835	643
565	837	642
566	839	640
567	840	639
568	843	639
569	845	637
570	846	636
571	849	635
572	851	634
573	852	632
574	854	631
575	857	630
576	859	630
577	861	629
578	863	627
579	865	626
580	867	625
581	870	625
582	873	624
583	875	623
584	877	622
585	878	620
586	880	619
587	882	618
588	885	617
589	887	616
590	889	615
591	890	613
592	891	612
593	892	610
594	894	608
595	895	606
596	896	605
597	897	603
598	898	601
599	899	599
600	901	598
601	902	596
602	903	594
603	904	593
604	905	591
605	906	589
606	907	587
607	908	586
608	909	584
609	911	582
610	912	580
611	913	579
612	914	577
613	915	575
614	916	573
615	918	572
616	919	570
617	920	569
618	921	567
619	922	565
620	923	563
621	925	562
622	926	560
623	927	558
624	928	557
625	929	555
626	930	553
627	931	551
628	933	550
629	935	549
630	937	548
631	940	547
632	942	546
633	945	545
634	947	544
635	949	543
636	951	542
637	954	541
638	956	540
639	959	539
640	961	538
641	964	537
642	966	536
643	968	535
644	969	533
645	970	532
646	972	530
647	974	529
648	975	527
649	977	526
650	979	525
651	981	523
652	982	522
653	984	520
654	985	519
655	987	517
656	988	516
657	990	515
658	993	513
659	995	512
660	998	511
661	1000	510
662	1002	509
663	1004	508
664	1007	507
665	1009	506
666	1011	504
667	1013	503
668	1014	502
669	1016	500
670	1018	499
671	1020	498
672	1022	496
673	1024	495
674	1025	493
675	1027	492
676	1028	490
677	1029	489
678	1030	487
679	1032	485
680	1033	483
681	1034	482
682	1035	480
683	1037	479
684	1039	477
685	1040	476
686	1041	474
687	1043	473
688	1044	471
689	1045	469
690	1046	468
691	1047	466
692	1048	464
693	1050	463
694	1051	461
695	1053	460
696	1055	458
697	1057	457
698	1058	455
699	1059	454
700	1061	452
701	1062	451
702	1063	449
703	1064	447
704	1066	446
705	1067	444
706	1069	443
707	1071	441
708	1072	440
709	1073	438
710	1074	436
711	1075	435
712	1077	433
713	1078	432
714	1079	430
715	1081	428
716	1082	427
717	1084	425
718	1085	424
719	1086	422
720	1088	421
721	1089	419
722	1090	417
723	1091	416
724	1092	414
725	1094	412
726	1095	411
727	1097	409
728	1099	408
729	1100	407
730	1101	405
731	1102	403
732	1104	402
733	1105	400
734	1106	398
735	1107	397
736	1108	395
737	1109	393
738	1110	392
739	1112	390
740	1114	389
741	1115	387
742	1117	386
743	1118	384
744	1119	383
745	1121	381
746	1122	380
747	1123	378
748	1124	376
749	1126	375
750	1129	374
751	1130	372
752	1132	371
753	1133	369
754	1134	368
755	1136	366
756	1137	365
757	1138	363
758	1139	361
759	1140	360
760	1142	358
761	1144	357
762	1145	355
763	1146	354
764	1147	352
765	1148	350
766	1149	349
767	1151	347
768	1152	346
769	1153	344
770	1154	342
771	1155	341
772	1157	339
773	1158	338
774	1159	336
775	1161	335
776	1162	333
777	1163	332
778	1164	330
779	1166	328
780	1167	327
781	1169	325
782	1170	324
783	1172	323
784	1174	321
785	1175	320
786	1177	318
787	1178	317
788	1180	315
789	1181	314
790	1183	312
791	1184	311
792	1186	309
793	1187	308
794	1189	306
795	1191	305
796	1192	303
797	1194	302
798	1195	300
799	1197	299
800	1198	297
801	1200	296
802	1201	294
803	1203	293
804	1205	291
805	1206	290
806	1208	288
807	1209	287
808	1210	285
809	1212	284
810	1213	282
811	1214	281
812	1216	279
813	1218	278
814	1220	276
815	1221	275
816	1223	273
817	1224	272
818	1225	270
819	1227	269
820	1228	267
821	1230	266
822	1232	264
823	1233	263
824	1235	262
825	1236	260
826	1238	259
827	1239	257
828	1241	256
829	1242	254
830	1244	253
831	1247	251
832	1249	250
833	1250	248
834	1252	247
835	1254	246
836	1255	244
837	1256	242
838	1257	241
839	1259	239
840	1260	238
841	1262	236
842	1263	235
843	1265	233
844	1266	232
845	1267	230
846	1269	229
847	1270	227
848	1271	226
849	1272	224
850	1274	223
851	1275	221
852	1277	220
853	1278	218
854	1279	217
855	1281	215
856	1282	213
857	1283	212
858	1284	210
859	1285	209
860	1287	207
861	1289	206
862	1290	204
863	1293	203
864	1295	202
865	1297	200
866	1299	199
867	1301	197
868	1304	196
869	1306	195
870	1308	193
871	1309	192
872	1310	190
873	1312	189
874	1313	187
875	1315	186
876	1316	184
877	1317	183
878	1319	181
879	1320	180
880	1321	178
881	1323	177
882	1324	175
883	1325	173
884	1326	172
885	1327	170
886	1329	169
887	1330	167
888	1331	166
889	1332	164
890	1333	163
891	1334	161
892	1335	160
893	1337	158
894	1338	157
895	1340	155
896	1341	153
897	1342	152
898	1343	150
899	1344	149
900	1345	147
901	1346	146
902	1347	144
903	1348	143
904	1349	141
905	1350	140
906	1351	138
907	1352	137
908	1354	135
909	1355	134
910	1356	132
911	1357	131
912	1359	129
913	1360	127
914	1361	126
915	1362	124
916	1363	123
917	1365	121
918	1366	120
919	1368	118
920	1369	117
921	1370	115
922	1372	114
923	1373	112
924	1374	111
925	1375	109
926	1376	108
927	1377	106
928	1378	105
929	1380	103
930	1382	102
931	1383	100
932	1384	99
933	1385	97
934	1386	96
935	1387	94
936	1389	93
937	1390	91
938	1391	90
939	1392	88
940	1393	87
941	1395	85
942	1396	84
943	1397	82
944	1398	81
945	1399	79
946	1400	78
947	1402	76
948	1403	75
949	1404	73
950	1405	72
951	1406	70
952	1407	69
953	1408	67
954	1410	66
955	1411	64
956	1413	63
957	1414	62
958	1415	60
959	1416	59
960	1418	57
961	1419	56
962	1420	54
963	1421	53
964	1422	51
965	1423	50
966	1425	48
967	1426	47
968	1427	45
969	1429	44
970	1430	42
971	1432	41
972	1433	39
973	1435	38
974	1436	36
975	1438	35
976	1440	33
977	1442	32
978	1443	30
979	1445	29
980	1447	28
981	1448	26
982	1450	25
983	1451	23
984	1453	22
985	1454	20
986	1456	19
987	1457	17
988	1458	16
989	1460	14
990	1461	13
991	1462	11
992	1463	10
993	1464	8
994	1465	7
995	1467	5
996	1468	4
997	1470	2
998	1471	1
999	1473	0
